QtrEMPLID,PayCode,Pay_Number
FLK_FY2024_Q2,LOADING,72407
FLK_FY2024_Q2,VEHICLE,72255
FLK_FY2024_Q3,LOADING,74209
FLK_FY2024_Q3,VEHICLE,74209
FLK_FY2024_Q4,VEHICLE,76071
FOOA_FY2024_Q2,LOADING,74042
FOOA_FY2024_Q3,LOADING,74210
FOOA_FY2024_Q4,LOADING,76178
FRAG_FY2022_Q3,LOADING,61610
FRAG_FY2023_Q1,LOADING,64226
FRAG_FY2023_Q2,LOADING,66846
FRAG_FY2023_Q3,LOADING,66941
FRAG_FY2023_Q4,LOADING,68133
FRAG_FY2024_Q2,LOADING,74043
FRAG_FY2024_Q3,LOADING,75958
FRYN2_FY2024_Q3,LOADING,74144
FRYN2_FY2024_Q4,LOADING,77675
FULJA_FY2024_Q2,LOADING,73181
FULJA_FY2024_Q3,LOADING,74212
FULJA_FY2024_Q4,LOADING,76460
GOWM_FY2022_Q2,LOADING,60757
GOWM_FY2022_Q3,LOADING,61611
GOWM_FY2023_Q1,LOADING,64422
GOWM_FY2023_Q2,LOADING,66127
GOWM_FY2023_Q3,LOADING,66942
GOWM_FY2023_Q4,LOADING,68134
GOWM_FY2024_Q1,LOADING,71965
GOWM_FY2024_Q2,LOADING,72683
GOWM_FY2024_Q3,LOADING,74270
GOWM_FY2024_Q4,LOADING,76576
HALS_FY2022_Q3,TAFE,62199
HALS_FY2022_Q4,LOADING,64125
HALS_FY2022_Q4,TAFE,63138
HALS_FY2023_Q1,TAFE,64454
HALS_FY2023_Q2,LOADING,66872
HALS_FY2023_Q2,TAFE,65743
HALS_FY2023_Q3,LOADING,66986
HALS_FY2023_Q3,TAFE,67452
HALS_FY2023_Q4,LOADING,68646
HALS_FY2023_Q4,TAFE,68161
HALS_FY2024_Q1,TAFE,70419
HALS_FY2024_Q2,LOADING,73483
HALS_FY2024_Q2,TAFE,72267
HALS_FY2024_Q3,LOADING,74151
HALS_FY2024_Q3,TAFE,74766
HALS_FY2024_Q4,LOADING,76490
HALS_FY2024_Q4,TAFE,76318
HARJ_FY2024_Q1,TAFE,70420
HARJ_FY2024_Q2,LOADING,73976
HARJ_FY2024_Q2,TAFE,72358
HARJ_FY2024_Q3,LOADING,74152
HARJ_FY2024_Q3,TAFE,74767
HARJ_FY2024_Q4,LOADING,76082
HARJ_FY2024_Q4,TAFE,76320
INGP_FY2023_Q1,LOADING,65186
INGP_FY2023_Q2,LOADING,66848
INGP_FY2023_Q3,LOADING,66943
INGP_FY2023_Q4,LOADING,68622
INGP_FY2024_Q1,LOADING,71628
INGP_FY2024_Q2,LOADING,73978
INGP_FY2024_Q3,LOADING,74153
INGP_FY2024_Q4,LOADING,76084
JACG_FY2022_Q2,MEAL4,61115
JOHB_FY2023_Q2,LOADING,66876
JOHB_FY2023_Q3,LOADING,66992
JOHB_FY2023_Q3,TAFE,67461
JOHB_FY2023_Q4,LOADING,68828
JOHB_FY2023_Q4,MEAL4,69058
JOHB_FY2023_Q4,TAFE,68171
JOHB_FY2024_Q1,TAFE,70428
JOHB_FY2024_Q2,LOADING,73982
JOHB_FY2024_Q2,TAFE,72274
JOHB_FY2024_Q3,LOADING,74157
JOHB_FY2024_Q3,TAFE,74773
JOHB_FY2024_Q4,LOADING,77238
JOHB_FY2024_Q4,TAFE,76326
JOND_FY2023_Q4,MEAL4,69249
KELC_FY2023_Q2,LOADING,66679
KELC_FY2023_Q3,TAFE,67551
KELC_FY2023_Q4,LOADING,68423
KELC_FY2023_Q4,TAFE,68869
KELC_FY2024_Q1,LOADING,70430
KELC_FY2024_Q2,LOADING,72276
KELC_FY2024_Q3,LOADING,74214
KELC_FY2024_Q4,LOADING,76328
LOHJ_FY2023_Q3,LOADING,67521
LOHJ_FY2023_Q4,TAFE,68522
LOHJ_FY2024_Q2,LOADING,72502
LOHJ_FY2024_Q3,LOADING,74162
LYOJ_FY2022_Q1,TAFE,59735
LYOJ_FY2022_Q2,LOADING,60609
LYOJ_FY2022_Q2,MEAL4,61120
LYOJ_FY2022_Q2,TAFE,60686
LYOJ_FY2022_Q3,LOADING,61654
LYOJ_FY2022_Q4,LOADING,62891
MACK_FY2024_Q1,LOADING,72117
MACK_FY2024_Q1,TAFE,70434
MACK_FY2024_Q2,LOADING,73988
MACK_FY2024_Q2,TAFE,72373
MACK_FY2024_Q3,LOADING,74163
MACK_FY2024_Q3,TAFE,75034
MACK_FY2024_Q4,TAFE,76335
MANI_FY2023_Q4,LOADING,69512
MANI_FY2024_Q1,TAFE,70435
MANI_FY2024_Q2,LOADING,72374
MANI_FY2024_Q2,TAFE,72374
MANI_FY2024_Q3,LOADING,74164
MANI_FY2024_Q3,TAFE,74642
MANI_FY2024_Q4,TAFE,76097
MARI_FY2022_Q3,LOADING,61613
MARI_FY2023_Q1,LOADING,65408
MARI_FY2023_Q2,LOADING,66851
MARI_FY2023_Q3,LOADING,67727
MARI_FY2024_Q1,LOADING,70790
MARI_FY2024_Q2,LOADING,74046
MARI_FY2024_Q3,LOADING,74216
MCAA_FY2023_Q2,LOADING,66852
MCAA_FY2023_Q3,LOADING,66947
MCAA_FY2023_Q4,MEAL4,70005
MCAA_FY2024_Q2,LOADING,73990
MCAA_FY2024_Q3,LOADING,74217
MCAA_FY2024_Q4,LOADING,76099
MCKK_FY2023_Q1,LOADING,64811
MCKK_FY2023_Q1,TAFE,64578
MCKK_FY2023_Q2,LOADING,66880
MCKK_FY2023_Q2,TAFE,65852
MCKK_FY2023_Q3,LOADING,67000
MCKK_FY2023_Q3,TAFE,67472
MCKK_FY2023_Q4,LOADING,69715
MCKK_FY2023_Q4,MEAL4,69219
MCKK_FY2023_Q4,TAFE,68236
MCKK_FY2024_Q1,LOADING,71800
MCKK_FY2024_Q1,MEAL4,70310
MCKK_FY2024_Q1,TAFE,70440
MCKK_FY2024_Q2,LOADING,73504
MCKK_FY2024_Q2,TAFE,73210
MCKK_FY2024_Q3,LOADING,74168
MCKK_FY2024_Q3,TAFE,74786
MCKK_FY2024_Q4,LOADING,76511
MCKK_FY2024_Q4,TAFE,76724
MERJ_FY2024_Q4,LOADING,77701
NELJ_FY2022_Q1,VEHICLE,59525
NELJ_FY2022_Q2,VEHICLE,60563
NELJ_FY2022_Q3,LOADING,61614
NELJ_FY2022_Q3,VEHICLE,61614
NELJ_FY2022_Q4,VEHICLE,62974
NELJ_FY2023_Q1,VEHICLE,64315
NELJ_FY2023_Q2,LOADING,66853
NELJ_FY2023_Q2,VEHICLE,65702
NELJ_FY2023_Q3,LOADING,66948
NELJ_FY2023_Q3,VEHICLE,66948
NELJ_FY2023_Q4,VEHICLE,68253
NELJ_FY2024_Q1,VEHICLE,70250
NELJ_FY2024_Q2,LOADING,72835
NELJ_FY2024_Q2,VEHICLE,72290
NELJ_FY2024_Q3,LOADING,74219
NELJ_FY2024_Q3,VEHICLE,74219
NELJ_FY2024_Q4,VEHICLE,76105
NICR_FY2023_Q4,TAFE,68531
NICR_FY2024_Q1,LOADING,70442
NICR_FY2024_Q1,TAFE,70442
NICR_FY2024_Q2,LOADING,73996
NICR_FY2024_Q2,TAFE,72380
NICR_FY2024_Q3,LOADING,74170
NICR_FY2024_Q3,TAFE,74788
NICR_FY2024_Q4,LOADING,76997
NICR_FY2024_Q4,TAFE,76343
NOWD_FY2023_Q1,LOADING,64227
NOWD_FY2023_Q2,LOADING,65613
NOWD_FY2023_Q3,LOADING,66949
NOWD_FY2024_Q1,LOADING,71214
NOWD_FY2024_Q2,LOADING,73348
NOWD_FY2024_Q3,LOADING,74220
NOWD_FY2024_Q4,LOADING,76210
NUAG_FY2022_Q1,LOADING,60308
NUAG_FY2022_Q2,LOADING,60482
NUAG_FY2022_Q3,LOADING,61615
NUAG_FY2022_Q4,LOADING,62981
NUAG_FY2023_Q1,LOADING,64228
NUAG_FY2023_Q2,LOADING,65614
NUAG_FY2023_Q3,LOADING,66950
NUAG_FY2024_Q1,LOADING,70798
NUAG_FY2024_Q2,LOADING,74050
NUAG_FY2024_Q3,LOADING,74221
NUAG_FY2024_Q4,LOADING,76108
PEND_FY2023_Q1,LOADING,64375
PEND_FY2023_Q2,LOADING,66547
PEND_FY2023_Q3,LOADING,66951
PEND_FY2023_Q4,LOADING,68630
PEND_FY2024_Q2,LOADING,72512
PEND_FY2024_Q3,LOADING,74222
PEND_FY2024_Q4,LOADING,77704
PRIM_FY2023_Q2,LOADING,66857
PRIM_FY2023_Q3,LOADING,66952
PURT_FY2022_Q3,LOADING,61616
PURT_FY2022_Q4,LOADING,63303
PURT_FY2023_Q2,LOADING,65706
PURT_FY2023_Q3,LOADING,66953
PURT_FY2023_Q4,LOADING,68821
PURT_FY2024_Q2,LOADING,74051
PURT_FY2024_Q3,LOADING,74223
PURT_FY2024_Q4,LOADING,76450
RATC_FY2022_Q4,LOADING,63499
RATC_FY2022_Q4,TAFE,63247
REAJ_FY2023_Q1,MEAL4,64583
REAJ_FY2023_Q2,LOADING,66881
REAJ_FY2023_Q2,WCOMP-EX,65708
REAJ_FY2023_Q3,LOADING,67002
REAJ_FY2023_Q3,TAFE,67475
REAJ_FY2023_Q4,LOADING,69405
REAJ_FY2023_Q4,MEAL4,69064
REAJ_FY2023_Q4,TAFE,68187
REAJ_FY2024_Q1,LOADING,72126
REAJ_FY2024_Q1,MEAL4,70314
REAJ_FY2024_Q1,TAFE,70608
REAJ_FY2024_Q2,LOADING,72705
REAJ_FY2024_Q2,TAFE,72296
REAJ_FY2024_Q3,LOADING,74171
REAJ_FY2024_Q3,TAFE,74791
REAJ_FY2024_Q4,LOADING,76605
REAJ_FY2024_Q4,TAFE,76112
RIDL_FY2022_Q4,TAFE,63248
RIDL_FY2023_Q1,LOADING,64524
RIDL_FY2023_Q2,LOADING,66882
RIDL_FY2023_Q2,TAFE,65953
RIDL_FY2023_Q3,LOADING,67003
RIDL_FY2023_Q3,TAFE,67476
RIDL_FY2023_Q4,LOADING,69513
RIDL_FY2023_Q4,TAFE,68444
RIDL_FY2024_Q1,LOADING,70445
RIDL_FY2024_Q1,TAFE,70801
RIDL_FY2024_Q2,LOADING,73867
RIDL_FY2024_Q2,TAFE,72383
RIDL_FY2024_Q3,LOADING,74172
RIDL_FY2024_Q3,WCOMP-EX,75218
RIDL_FY2024_Q4,LOADING,76606
RIDL_FY2024_Q4,TAFE,77574
RIDL_FY2024_Q4,WCOMP-EX,76736
RILB_FY2024_Q2,LOADING,74000
RILB_FY2024_Q3,LOADING,74173
ROXA_FY2024_Q3,LOADING,74304
ROXA_FY2024_Q4,LOADING,76739
RUTB_FY2022_Q2,MEAL4,61304
RUTB_FY2023_Q4,MEAL4,70018
RUTY_FY2023_Q4,MEAL4,69229
RUTY_FY2024_Q1,TAFE,70450
RUTY_FY2024_Q2,LOADING,72844
RUTY_FY2024_Q2,TAFE,72387
RUTY_FY2024_Q3,LOADING,74176
RUTY_FY2024_Q3,TAFE,74797
RUTY_FY2024_Q4,TAFE,77144
SATS_FY2024_Q2,LOADING,74004
SATS_FY2024_Q3,LOADING,74177
SCOC_FY2022_Q1,LOADING,59572
SCOC_FY2022_Q3,LOADING,61617
SCOC_FY2023_Q1,LOADING,64383
SCOC_FY2023_Q2,LOADING,65615
SCOC_FY2023_Q3,LOADING,66954
SCOC_FY2023_Q4,LOADING,68822
SCOC_FY2024_Q1,LOADING,71570
SCOC_FY2024_Q2,LOADING,73062
SCOC_FY2024_Q3,LOADING,74224
SCOC_FY2024_Q4,LOADING,76222
SHEJ_FY2024_Q4,LOADING,76224
SICS_FY2022_Q4,WCOMP-EX,64131
SICS_FY2023_Q2,LOADING,66861
SICS_FY2023_Q3,LOADING,66955
SICS_FY2023_Q4,LOADING,69415
SICS_FY2024_Q1,LOADING,71148
SICS_FY2024_Q2,LOADING,74009
SICS_FY2024_Q3,LOADING,74225
SICS_FY2024_Q4,LOADING,77011
STEM_FY2024_Q4,LOADING,76529
STEM_FY2024_Q4,WCOMP-EX,76618
STES_FY2022_Q2,LOADING,60646
STES_FY2022_Q3,LOADING,61618
STES_FY2022_Q4,LOADING,63495
STES_FY2023_Q2,LOADING,66862
STES_FY2023_Q3,LOADING,66956
STES_FY2024_Q2,LOADING,74054
STES_FY2024_Q3,LOADING,74227
SUAK_FY2023_Q1,MEAL4,64483
SUAK_FY2023_Q2,MEAL,66738
SUAK_FY2023_Q2,MEAL4,65676
SUAK_FY2023_Q3,MEAL4,67083
SUAK_FY2023_Q4,MEAL4,68198
SUAK_FY2024_Q1,MEAL4,70812
SUAK_FY2024_Q2,MEAL4,72310
SUAK_FY2024_Q3,MEAL4,74313
SUAK_FY2024_Q4,MEAL4,76129
SUTJ_FY2023_Q2,LOADING,66884
SUTJ_FY2023_Q3,LOADING,67011
SUTJ_FY2023_Q3,TAFE,67488
SUTJ_FY2023_Q4,MEAL4,68895
SUTJ_FY2023_Q4,TAFE,68199
SUTJ_FY2024_Q1,MEAL4,70178
SUTJ_FY2024_Q1,TAFE,70458
SUTJ_FY2024_Q2,LOADING,73363
SUTJ_FY2024_Q2,TAFE,72311
SUTJ_FY2024_Q3,LOADING,74183
SUTJ_FY2024_Q3,TAFE,74807
SUTJ_FY2024_Q4,LOADING,76130
SUTJ_FY2024_Q4,TAFE,76360
SZIR_FY2022_Q4,LOADING,63922
SZIR_FY2023_Q1,LOADING,65512
SZIR_FY2023_Q1,TAFE,64829
SZIR_FY2023_Q2,LOADING,65616
SZIR_FY2023_Q2,TAFE,65757
SZIR_FY2023_Q3,LOADING,67012
SZIR_FY2023_Q3,TAFE,67364
SZIR_FY2023_Q4,LOADING,68460
SZIR_FY2023_Q4,TAFE,68546
SZIR_FY2024_Q1,LOADING,71665
SZIR_FY2024_Q1,TAFE,70459
SZIR_FY2024_Q2,LOADING,74013
SZIR_FY2024_Q2,TAFE,72312
SZIR_FY2024_Q3,LOADING,74184
SZIR_FY2024_Q3,TAFE,74678
SZIR_FY2024_Q4,LOADING,76131
SZIR_FY2024_Q4,TAFE,76361
VERR_FY2023_Q1,MEAL4,64598
VERR_FY2023_Q1,TAFE,64598
VERR_FY2023_Q2,LOADING,66924
VERR_FY2023_Q2,MEAL4,66707
VERR_FY2023_Q2,TAFE,65873
VERR_FY2023_Q3,LOADING,67016
VERR_FY2023_Q3,TAFE,67493
VERR_FY2023_Q4,MEAL4,68900
VERR_FY2023_Q4,TAFE,68238
VERR_FY2024_Q1,MEAL4,70184
VERR_FY2024_Q1,TAFE,70628
VERR_FY2024_Q2,LOADING,74018
VERR_FY2024_Q2,TAFE,73236
VERR_FY2024_Q3,LOADING,74189
VERR_FY2024_Q3,TAFE,74814
VERR_FY2024_Q4,MEAL4,76237
VERR_FY2024_Q4,TAFE,76762
WALJ_FY2023_Q3,LOADING,67830
WALJ_FY2023_Q4,LOADING,68811
WALJ_FY2024_Q1,LOADING,72147
WALJ_FY2024_Q2,LOADING,74020
WALJ_FY2024_Q3,LOADING,74191
WALJ_FY2024_Q4,LOADING,76239
WATR_FY2024_Q4,LOADING,76455
WILR_FY2024_Q2,LOADING,74056
WILR_FY2024_Q3,LOADING,74229
WOOL_FY2024_Q2,LOADING,72539
WOOL_FY2024_Q3,LOADING,74231
WOOL_FY2024_Q4,LOADING,76244
WOOP_FY2024_Q1,LOADING,71213
WOOP_FY2024_Q2,LOADING,74057
YOUJ_FY2024_Q4,MEAL4,76242
ZYSL_FY2023_Q2,LOADING,65707
ZYSL_FY2023_Q3,LOADING,67021
ZYSL_FY2023_Q4,LOADING,68210
ZYSL_FY2024_Q1,LOAD,72151
ZYSL_FY2024_Q1,LOADING,70825
ZYSL_FY2024_Q2,LOADING,73534
ZYSL_FY2024_Q3,LOADING,74195
